Opening,Plot,Tree.Number,Species,DBH,Height,FG/C/C,Core,FK/CK,DT/BT,Scar,Dmg.Primary,Dmg.Secondary,
160_D23,3,11,Sx,4.1,4.6,4,,,,,,,
160_D23,4,1,Lw,13.3,9.5,2,1,,,,,,
160_D23,4,2,Pl,9.6,8.2,2,1,,,,,,
160_D23,4,3,Lw,9.5,8.9,2,1,,,,,,
160_D23,4,4,Lw,12.5,10.9,2,1,,,,,,
160_D23,4,5,Pl,8,7.6,2,1,,,,,,
160_D23,4,6,Ep,5,5.4,3,,,,,,,
160_D23,4,7,Fd,6.9,7.4,3,,,,,,,
160_D23,4,8,Lw,7.2,6.2,3,,,,,,,
160_D23,4,9,Pl,5.9,6.7,3,,,,,,,
160_D23,4,10,Ep,7.3,8.4,2,,,,,,,
160_D23,5,1,Pl,10.5,9,2,1,,,,,,
160_D23,5,2,Pl,13.8,8.7,2,1,,,,,,
160_D23,5,3,Pl,10.7,9.3,2,1,,,,,,
160_D23,5,4,Sx,5.6,5.3,4,,,,,,,
160_D23,5,5,Ep,6.1,6.6,3,,,,,,,
160_D23,5,6,Ep,5.1,5.8,3,,,,,,,
160_D23,5,7,Sx,5.5,4.9,4,,,,,,,
160_D23,5,8,Ep,4.8,6.9,3,,,,,,,
160_D23,5,9,Ep,4.6,6.1,4,,,,,,,
160_D23,5,10,Ep,5.4,7.7,3,,,,,,,
160_D23,5,11,Sx,6.1,5.8,3,,,,,,,
160_D23,6,1,Pl,11.6,8.7,2,1,,,,,,
160_D23,6,2,Pl,9,7.3,2,1,,,,DSG,,
160_D23,6,3,Pl,12.1,7.6,2,1,,,,,,
160_D23,6,4,Fd,4.5,3.9,4,,,,,,,
160_D23,7,1,Lw,14.9,12.8,2,1,,,,,,
160_D23,7,2,Lw,12,11.2,2,1,,,,,,
160_D23,7,3,Lw,17,13.3,2,1,,,,,,
160_D23,7,4,Lw,17.3,13.3,2,1,,,,,,
160_D23,7,5,Lw,17,12.6,2,1,,,,,,
160_D23,7,6,Pl,7.7,9.6,2,1,,,,,,
160_D23,7,7,Lw,10.7,9.2,2,,,,,,,
160_D23,7,8,Ep,4,6.9,3,,,,,,,
160_D23,7,9,Sx,8.2,8.2,3,,,,,,,
160_D23,7,10,Ep,4.7,8.2,3,,,,,,,
160_D23,7,11,Ep,5,9.3,3,,,,,,,
160_D23,7,12,Ep,4,7.5,3,,,,,,,
160_D23,8,1,Lw,12.4,10.7,2,1,,,,,,
160_D23,8,2,Pl,16.9,11.8,2,1,,,,,,
160_D23,8,3,Lw,5.9,6.8,3,,,,,,,
160_D23,8,4,Lw,4.8,5.5,3,,,,,,,
160_D23,8,5,Lw,9.3,8.4,3,,,,,,,
160_D23,8,6,Ep,6,7.1,3,,,,,,,
160_D23,8,7,Bl,5.9,4.7,4,,,,,,,
160_D23,8,8,Ep,4.4,5.7,4,,,,,,,
160_D23,8,9,Lw,8.5,8.2,3,,,,,,,
160_D23,8,10,Sx,8.2,4.8,4,,,,,,,
160_D23,8,11,Sx,5.2,4,4,,,,,,,
160_D23,8,12,Bl,4.7,4.7,4,,,,,,,
