Site Name,Date (D/M/Y),Crew,BAF,Mapsheet,Latitude,Longitude,Target Species,Stock Type,Planting Date (MM/YYYY),Seedlot(s),Origin Location,Origin Latitude,Origin Longitude,Origin Elevation (m),BGC Unit,Comments,Slope (%),Azimuth,Elevation (m),Tree Number,Site Tree,Spp,Total Height (m),DBH(cm),Crown Class,Site Series,BH age,Stem Infec'n,Scar,Fork/Crook,Frost Crack, D or B Top,Sweep,FHF1,FHF2,Other,Dom/ Co-dom,Inter/Supp,Photo Number,Tree Density,Comments,Site,FHF,Competition,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,,,,,,,,SBSmc2,Trans to ESSFmc,48,220,1060,11,13,Pl,21.6,37.7,D,5,59,,,,,,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,2+1 BR,Oct-57,D29,"Shuswap, BC",51.02,-119.85,UNKNOWN,SBSmc2,Trans to ESSFmc,48,220,1060,12,13,Fdi,21.4,41.7,C,5,43,,,X,,,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-2,08-09-2010,"LM, KM",4,93I076,54.77175,-126.82462,Fdi,2+1 BR,Oct-57,D29,"Shuswap, BC",51.02,-119.85,UNKNOWN,SBSmc2,Trans to ESSFmc,48,220,1060,13,13,Fdi,19.9,25.3,D,5,35,,,,,,,,,,50,50,"K3, K4, K5",n/a,"K3 - Stand, K4 - Fork on tree 12, K5 - crook","Good site but steep w/ heavy snow load, burned.",Too much snow and frost damage too accept Fdi at this elevation.,Likely early competition from  shrubs delaying early height growth.,"Fdi offsite here. Lot of forks, sweeps and crooks. Snow load too high. Inconsistent, often poor growth compared to Pl and Sx. Sx best. Fd seemed to look better relative to other species on steeper, rockier, S - SW facing slopes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-6,11-08-2010,"LM, KM",4,93L080,54.78572,-126.12472,Fdi,2+0 GTN,1959,D32,"Elko, BC",49.3,-115.08,UNKNOWN,SBSmc2,,0-5,320,765,1,9,Fdi,19,24.7,C,6,36,,,,,,,,,,100,0,"0811101445-00, 445-01 (00 = site tree)",n/a,,"Good site, not a significant factor","Some sweep, occasional forking (? environmental factors)",No significant competition from density or overtopping deciduous,"Coordinates for contract were incorrect (lead to Ep 537, Sx 4X4 + 8X8 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-6,11-08-2010,"LM, KM",4,93L080,54.78572,-126.12472,Fdi,,,,,,,,SBSmc2,,0-5,320,765,2,9,Sx,16.9,21.6,C,6,38,,,,,,X,,,,100,0,"0811101445-00, 445-01 (00 = site tree)",n/a,,"Good site, not a significant factor","Some sweep, occasional forking (? environmental factors)",No significant competition from density or overtopping deciduous,"Coordinates for contract were incorrect (lead to Ep 537, Sx 4X4 + 8X8 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-6,11-08-2010,"LM, KM",4,93L080,54.78572,-126.12472,Fdi,,,,,,,,SBSmc2,,0-5,320,765,3,9,Pl,19.7,24.2,C,6,44,,,,,,,DSA,,Atropellis,100,0,"0811101445-00, 445-01 (00 = site tree)",n/a,,"Good site, not a significant factor","Some sweep, occasional forking (? environmental factors)",No significant competition from density or overtopping deciduous,"Coordinates for contract were incorrect (lead to Ep 537, Sx 4X4 + 8X8 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-6,11-08-2010,"LM, KM",4,93L080,54.78572,-126.12472,Fdi,,,,,,,,SBSmc2,,0-5,320,765,4,9,Pl,16.7,23.1,C,1,43,,,,,,,DSA,,Atropellis,100,0,"0811101445-00, 445-01 (00 = site tree)",n/a,,"Good site, not a significant factor","Some sweep, occasional forking (? environmental factors)",No significant competition from density or overtopping deciduous,"Coordinates for contract were incorrect (lead to Ep 537, Sx 4X4 + 8X8 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-6,11-08-2010,"LM, KM",4,93L080,54.78572,-126.12472,Fdi,2+0 GTN,1959,D32,"Elko, BC",49.3,-115.08,UNKNOWN,SBSmc2,,0-5,320,765,5,9,Fdi,15.7,21.7,C,1,40,,,,,,,,,,100,0,"0811101445-00, 445-01 (00 = site tree)",n/a,,"Good site, not a significant factor","Some sweep, occasional forking (? environmental factors)",No significant competition from density or overtopping deciduous,"Coordinates for contract were incorrect (lead to Ep 537, Sx 4X4 + 8X8 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-6,11-08-2010,"LM, KM",4,93L080,54.78572,-126.12472,Fdi,2+0 GTN,1959,D32,"Elko, BC",49.3,-115.08,UNKNOWN,SBSmc2,,0-5,320,765,6,9,Fdi,16.5,22.3,C,1,37,,,X,,,,,,Fork and crook,100,0,"0811101445-00, 445-01 (00 = site tree)",n/a,,"Good site, not a significant factor","Some sweep, occasional forking (? environmental factors)",No significant competition from density or overtopping deciduous,"Coordinates for contract were incorrect (lead to Ep 537, Sx 4X4 + 8X8 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-6,11-08-2010,"LM, KM",4,93L080,54.78572,-126.12472,Fdi,2+0 GTN,1959,D32,"Elko, BC",49.3,-115.08,UNKNOWN,SBSmc2,,0-5,320,765,7,9,Fdi,17.3,21.3,C,1,38,,,,,,,,,,100,0,"0811101445-00, 445-01 (00 = site tree)",n/a,,"Good site, not a significant factor","Some sweep, occasional forking (? environmental factors)",No significant competition from density or overtopping deciduous,"Coordinates for contract were incorrect (lead to Ep 537, Sx 4X4 + 8X8 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
